10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,81,1210,7.4,13,3.31,0.76,3.34,0.76,3.39,0.8,3.12,0.83,108,19,105,21,4.6,0.4
10,3707,2002,81,1220,7.8,13,3.41,1.29,3.41,1.29,3.34,1.29,2.99,1.4,107,11,102,17,4.9,0.1
10,3707,2002,81,1230,7.8,13.1,3.39,0.8,3.56,0.76,3.57,0.76,3.23,0.83,111,17,107,15,4.9,0.1
10,3707,2002,81,1240,8.3,13.3,3.23,0.8,3.39,0.8,3.37,0.91,2.97,0.99,103,13,103,16,5.4,0.4
10,3707,2002,81,1250,8.7,13.1,2.98,0.76,3,0.73,2.95,0.73,2.54,0.8,92,19,87,20,6.4,0.2
10,3707,2002,81,1300,9.1,13,4.43,0.64,4.54,0.67,4.57,0.7,4.28,0.73,105,12,101,13,5.6,0.4
10,3707,2002,81,1310,9.1,13.1,2.61,1.23,2.81,1.04,2.81,1.04,2.36,1.13,99,12,95,14,5.6,0.2
10,3707,2002,81,1320,9.6,13,2.99,1.4,3.07,1.4,3.02,1.4,2.53,1.6,96,28,104,40,6.4,0.2
10,3707,2002,81,1330,9.6,13,1.69,0.99,2,1.08,2.07,1.08,1.57,1.08,61,49,44,43,5.9,0.1
10,3707,2002,81,1340,10,13,2.5,0.91,2.72,0.87,2.6,0.91,2.06,1.13,61,20,61,23,6.1,0.2
10,3707,2002,81,1350,10,13,3.51,0.87,3.58,0.8,3.47,0.8,3.07,0.91,78,18,74,21,6.1,0.2
10,3707,2002,81,1400,10,13,3.52,1.08,3.57,1.04,3.57,1.13,3.11,1.29,89,18,84,20,6.1,0.1
10,3707,2002,81,1410,10.4,13,3.23,0.76,3.44,0.76,3.51,0.76,3.09,0.87,83,19,83,19,6.1,0.1
10,3707,2002,81,1420,10.4,13,2.98,1.04,3.08,0.99,3.1,1.04,2.64,1.13,97,56,82,36,5.9,0.2
10,3707,2002,81,1430,10.4,13,3.07,0.95,3.19,0.95,3.16,0.91,2.72,1.04,112,14,107,16,6.1,0.1
